id;gene;pval;adjPVal
216368_s_at;COL4A3;0.222649526490056;0.337360850827619
206813_at;CTF1;4.09487584296355e-10;8.76611948437163e-09
214602_at;COL4A4;0.610174055301268;0.71708930620196
204960_at;PTPRCAP;0.462786233801539;0.588521360490981
220036_s_at;LMBR1L;0.732531197037841;0.814923031265981
219584_at;PLA1A;0.0667983092030638;0.128637162916929
204174_at;ALOX5AP;0.287088087573872;0.411602668675293
207670_at;KRT85;0.0491756267284925;0.0994650841869623
208514_at;KCNE1;0.0512294135651412;0.102936375504885
221095_s_at;KCNE2;0.19630294583351;0.305474163406838
207216_at;TNFSF8;0.893698634596178;0.929690491739176
208885_at;LCP1;0.643870296491487;0.745201485533843
201445_at;CNN3;0.221929600945681;0.336596369164491
206975_at;LTA;0.54664485072648;0.664607013885291
214502_at;HIST1H2BJ;0.459866929856664;0.585941332762741
220519_s_at;LIM2;0.99442571822623;0.995626188731557
213681_at;CYHR1;0.708047368910314;0.797190940752589
214666_x_at;IREB2;0.0270008753962007;0.0603333233607329
212787_at;YLPM1;0.157112589713713;0.255267297995903
208489_at;GJA8;0.157778425485178;0.256138958688269
